                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.8626,                 31.523,                 4.3369,                      0,                      0,                      0,                      0,                 7.0695,                 95.227,                 4.1588,                  2e-05,                  2e-05,                  2e-05
                      2,                 7.0026,                 75.269,                 4.1766,                      0,                      0,                      0,                      0,                 7.0694,                 95.291,                 4.1585,             5.9406e-05,             5.9406e-05,             5.9406e-05
                      3,                 7.0139,                 62.747,                 4.2643,                      0,                      0,                      0,                      0,                 7.0693,                  95.26,                  4.158,              9.802e-05,              9.802e-05,              9.802e-05
                      4,                 6.9263,                 56.386,                 4.1213,                      0,                      0,                      0,                      0,                 7.0691,                 95.181,                 4.1574,             0.00013584,             0.00013584,             0.00013584
                      5,                  6.841,                  33.72,                   4.34,                      0,                      0,                      0,                      0,                  7.069,                 95.162,                 4.1568,             0.00017287,             0.00017287,             0.00017287
                      6,                 6.9201,                 41.668,                 4.1169,                      0,                      0,                      0,                      0,                 7.0689,                 94.906,                 4.1567,             0.00020911,             0.00020911,             0.00020911
                      7,                 6.7626,                 22.978,                 4.0428,                      0,                      0,                      0,                      0,                 7.0689,                 94.613,                  4.157,             0.00024456,             0.00024456,             0.00024456
                      8,                 6.8327,                 18.699,                 3.8983,                      0,                      0,                      0,                      0,                 7.0689,                 94.168,                 4.1572,             0.00027921,             0.00027921,             0.00027921
                      9,                 6.6873,                 11.584,                 3.6505,                      0,                      0,                      0,                      0,                 7.0688,                 93.441,                 4.1573,             0.00031307,             0.00031307,             0.00031307
                     10,                 6.3768,                 12.869,                 3.5148,                      0,                      0,                      0,                      0,                  7.069,                 92.565,                 4.1591,             0.00034614,             0.00034614,             0.00034614
                     11,                  6.141,                 10.396,                 3.5285,                      0,                      0,                      0,                      0,                 7.0691,                 91.095,                 4.1611,             0.00037842,             0.00037842,             0.00037842
                     12,                 5.9336,                 8.3357,                 3.3786,                      0,                      0,                      0,                      0,                 7.0693,                 89.345,                 4.1637,             0.00040991,             0.00040991,             0.00040991
                     13,                 4.9581,                 5.1843,                 3.1279,                      0,                      0,                      0,                      0,                 7.0696,                 87.526,                 4.1666,              0.0004406,              0.0004406,              0.0004406
                     14,                 4.8362,                  5.906,                 3.1382,                      0,                      0,                      0,                      0,                 7.0697,                 85.571,                 4.1688,              0.0004705,              0.0004705,              0.0004705
                     15,                 4.7453,                 5.3672,                 2.8787,                      0,                      0,                      0,                      0,                 7.0692,                 81.974,                  4.165,             0.00049961,             0.00049961,             0.00049961
                     16,                 4.5994,                 4.3798,                 2.6463,                      0,                      0,                      0,                      0,                 7.0686,                 77.265,                 4.1628,             0.00052793,             0.00052793,             0.00052793
